,,,,,,,,,,,,,,,,,,,,,,
cal,Motor rate,Cable type,Starter type,L Cable,L size,unit,L type,G Cable,G size,unit2,G type,in,size,type,,,,,,,,
11|XLPE MC|DOL,11,XLPE MC,DOL,1x3C,4,Sq.mm.,CV-FD,/G-1x1C,4,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
11|PVC SC|YD,11,PVC SC,YD,6x1C,6,Sq.mm.,IEC01,/G-1x1C,6,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
11|PVC MC|YD,11,PVC MC,YD,2x3C,6,Sq.mm.,IEC10,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
11|XLPE SC|YD,11,XLPE SC,YD,6x1C,4,Sq.mm.,CV-FD,/G-1x1C,4,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
11|XLPE MC|YD,11,XLPE MC,YD,2x3C,4,Sq.mm.,CV-FD,/G-1x1C,4,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
15|PVC SC|DOL,15,PVC SC,DOL,3x1C,10,Sq.mm.,IEC01,/G-1x1C,10,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
15|PVC MC|DOL,15,PVC MC,DOL,1x3C,10,Sq.mm.,IEC10,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
15|XLPE SC|DOL,15,XLPE SC,DOL,3x1C,6,Sq.mm.,CV-FD,/G-1x1C,6,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
15|XLPE MC|DOL,15,XLPE MC,DOL,1x3C,6,Sq.mm.,CV-FD,/G-1x1C,6,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
15|PVC SC|YD,15,PVC SC,YD,6x1C,10,Sq.mm.,IEC01,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
15|PVC MC|YD,15,PVC MC,YD,2x3C,10,Sq.mm.,IEC10,/G-1x1C,10,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
15|XLPE SC|YD,15,XLPE SC,YD,6x1C,6,Sq.mm.,CV-FD,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
15|XLPE MC|YD,15,XLPE MC,YD,2x3C,6,Sq.mm.,CV-FD,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
18.5|PVC SC|DOL,18.5,PVC SC,DOL,3x1C,10,Sq.mm.,IEC01,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
18.5|PVC MC|DOL,18.5,PVC MC,DOL,1x3C,16,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
18.5|XLPE SC|DOL,18.5,XLPE SC,DOL,3x1C,6,Sq.mm.,CV-FD,/G-1x1C,6,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
18.5|XLPE MC|DOL,18.5,XLPE MC,DOL,1x3C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
18.5|PVC SC|YD,18.5,PVC SC,YD,6x1C,10,Sq.mm.,IEC01,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
18.5|PVC MC|YD,18.5,PVC MC,YD,2x3C,16,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2 1/2""",IMC,,,,,,,,
18.5|XLPE SC|YD,18.5,XLPE SC,YD,6x1C,6,Sq.mm.,CV-FD,/G-1x1C,6,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
18.5|XLPE MC|YD,18.5,XLPE MC,YD,2x3C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
22|PVC SC|DOL,22,PVC SC,DOL,3x1C,16,Sq.mm.,IEC01,/G-1x1C,16,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
22|PVC MC|DOL,22,PVC MC,DOL,1x3C,16,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
22|XLPE SC|DOL,22,XLPE SC,DOL,3x1C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
22|XLPE MC|DOL,22,XLPE MC,DOL,1x3C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
22|PVC SC|YD,22,PVC SC,YD,6x1C,16,Sq.mm.,IEC01,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
22|PVC MC|YD,22,PVC MC,YD,2x3C,16,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2 1/2""",IMC,,,,,,,,
22|XLPE SC|YD,22,XLPE SC,YD,6x1C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
22|XLPE MC|YD,22,XLPE MC,YD,2x3C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
25|PVC SC|DOL,25,PVC SC,DOL,3x1C,16,Sq.mm.,IEC01,/G-1x1C,16,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
25|PVC MC|DOL,25,PVC MC,DOL,1x3C,25,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
25|XLPE SC|DOL,25,XLPE SC,DOL,3x1C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1""",IMC,,,,,,,,
25|XLPE MC|DOL,25,XLPE MC,DOL,1x3C,16,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
25|PVC SC|YD,25,PVC SC,YD,6x1C,16,Sq.mm.,IEC01,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
25|PVC MC|YD,25,PVC MC,YD,2x3C,25,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2 1/2""",IMC,,,,,,,,
25|XLPE SC|YD,25,XLPE SC,YD,6x1C,10,Sq.mm.,CV-FD,/G-1x1C,10,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
25|XLPE MC|YD,25,XLPE MC,YD,2x3C,16,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
30|PVC SC|DOL,30,PVC SC,DOL,3x1C,25,Sq.mm.,IEC01,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
30|PVC MC|DOL,30,PVC MC,DOL,1x3C,25,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
30|XLPE SC|DOL,30,XLPE SC,DOL,3x1C,16,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
30|XLPE MC|DOL,30,XLPE MC,DOL,1x3C,16,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/4""",IMC,,,,,,,,
30|PVC SC|YD,30,PVC SC,YD,6x1C,25,Sq.mm.,IEC01,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
30|PVC MC|YD,30,PVC MC,YD,2x3C,25,Sq.mm.,IEC10,/G-1x1C,16,Sq.mm.,IEC01,in,"2 1/2""",IMC,,,,,,,,
30|XLPE SC|YD,30,XLPE SC,YD,6x1C,16,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
30|XLPE MC|YD,30,XLPE MC,YD,2x3C,16,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
37|PVC SC|DOL,37,PVC SC,DOL,3x1C,35,Sq.mm.,IEC01,/G-1x1C,25,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
37|PVC MC|DOL,37,PVC MC,DOL,1x3C,35,Sq.mm.,IEC10,/G-1x1C,25,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
37|XLPE SC|DOL,37,XLPE SC,DOL,3x1C,25,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
37|XLPE MC|DOL,37,XLPE MC,DOL,1x3C,25,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
37|PVC SC|YD,37,PVC SC,YD,6x1C,35,Sq.mm.,IEC01,/G-1x1C,25,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
37|PVC MC|YD,37,PVC MC,YD,2x3C,35,Sq.mm.,IEC10,/G-1x1C,25,Sq.mm.,IEC01,in,"3""",IMC,,,,,,,,
37|XLPE SC|YD,37,XLPE SC,YD,6x1C,25,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"2""",IMC,,,,,,,,
37|XLPE MC|YD,37,XLPE MC,YD,2x3C,25,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"2 1/2""",IMC,,,,,,,,
45|PVC SC|DOL,45,PVC SC,DOL,3x1C,50,Sq.mm.,IEC01,/G-1x1C,25,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
45|PVC MC|DOL,45,PVC MC,DOL,1x3C,50,Sq.mm.,NYY,/G-1x1C,25,Sq.mm.,IEC01,in,"2 1/2""",IMC,,,,,,,,
45|XLPE SC|DOL,45,XLPE SC,DOL,3x1C,25,Sq.mm.,CV-FD,/G-1x1C,16,Sq.mm.,IEC01,in,"1 1/2""",IMC,,,,,,,,
